Transaction_ID,Customer_ID,Transaction_Timestamp,Amount,Merchant_Category,Payment_Method,City,State,Country,Device_Type,Customer_Type,Transaction_Status,Fraud_Flag,Risk_Score,Risk_Level,Risk_Factors,Failed_Attempts_24h,Transactions_Last_10_Min,Card_Network,Merchant_ID,Transaction_Currency,IP_Risk_Category
TXN138985,CUST6168,2026-05-05 06:26:56,1958.39,Electronics,upi, MUMBAI ,MH,India,iOS, Regular ,APPROVED,Yes,4,Critical,New Device; Failed Authentication,4,5, Mastercard ,MID3201,Rs, VPN Detected
TXN118705,CUST1034,2026-05-09 21:04:00,2025.3,Healthcare,Net Banking,Thane,MH,India,iOS,New,Approved,No,4,Low,,0,2,RUPAY,MID7708,Rs,NEW IP
TXN117467,CUST9847,2026-06-19 18:54:00,10440.55,Food & Dining,Credit Card,Kochi,KL,India,,New,Approved,No,14,Low,,10,0,Amex,MID4226,INR,VPN Detected
TXN115072,CUST4472,2026-02-04 04:59:00,1724.74,Education,Credit Card,Kochi,KL,India,iOS,New,Approved,No,34,Medium,Unusual Time,12,2,RuPay,MID4805,INR,New IP
TXN122591,CUST9247,2026-06-24 17:07:00,836.78,Fuel,Net Banking,Hyderabad,TS,India,Android,New,Approved,No,13,Low,,2,6,Amex,MID6909,INR,Unknown
TXN125284,CUST9059,2026-01-31 01:01:00,1731.04,ONLINE SERVICES,Net Banking,Hyderabad,TS,India,Android,New,Declined,Yes,45,Medium,Unusual Time,1,5, Mastercard ,MID8333,INR,Blacklisted
TXN116692,CUST6881,2026-01-03 22:08:00,3325.97,Online Services,Credit Card,Delhi,DL,India,Android,Regular,Approved,No,26,Low,New Device,2,3,Visa,MID1354,INR,VPN Detected
TXN125102,CUST5918,2026-02-25 23:00:00,1970.34,Gaming,Debit Card,Indore,MP,India,Windows,New,Approved,No,1,Low,,8,0,Amex,MID5403,INR, VPN Detected
TXN132395,CUST4795,2026-05-21 15:14:00,751.85,,Debit Card,Jaipur,RJ,India,Windows,Regular,Approved,No,9,Low,,12,6,Visa,MID7266,INR,VPN Detected
TXN118154,CUST4690,2026-05-09 14:23:00,5245.13,,Net Banking,Noida,UP,India,Windows,Premium,Approved,No,16,Low,,10,2,amex ,MID6493,inr, VPN Detected
TXN107258,CUST6816,2026-07-22 14:05:00,3471.95,Utilities,Wallet,Lucknow,UP,India,MacOS,,Approved,No,18,Low,New Device,9,3,Amex,MID2923,INR,VPN Detected
TXN123657,CUST4691,2026-07-03 12:45:00,674.24,Travel,,Thane,MH,India,Windows,Premium,Approved,No,1,Low,,4,3,RuPay,MID2432,inr,NEW IP
TXN117823,CUST9836,2026-04-10 15:09:00,2762.4,Travel,Credit Card,Lucknow,UP,India,iOS,New,Approved,No,1,Low,,8,4,amex ,MID1300,INR,New IP
TXN142544,CUST2802,2026-12-13 09:28:51,1999.67,education, Credit Card ,Lucknow,UP,India,windows,premium, Approved ,YES,64,Medium,Unusual Time; Velocity Alert; Location Mismatch,2,5,RUPAY,MID3977,USD,NEW IP
TXN113477,CUST3540,2026-06-10 21:44:00,6156.66,Food & Dining, UPI ,Indore,MP,India,Windows,Regular,Approved,No,10,Low,,6,4,RuPay,MID4631,INR,New IP
TXN108535,CUST6635,2026-06-09 10:28:00,1383.8,Fuel,Net Banking,Ahmedabad,GJ,India,MacOS,Regular,Approved,No,11,Low,,1,1,RuPay,MID9639,INR,trusted
TXN121562,CUST8375,2026-01-22 07:43:00,1613.74,,Net Banking,Gurugram,HR,India,MacOS,Premium,Approved,No,4,Low,,8,4,visa,MID9886,INR,Trusted
TXN124055,CUST2835,2026-01-31 13:59:00,644.27,Utilities,Credit Card,Ahmedabad  ,GJ,India,MacOS,Regular,Pending,No,20,Low,Location Mismatch,11,6,Visa,MID4152,INR,New IP
TXN121528,CUST5705,2026-03-02 13:10:00,2796.91,Clothing,Net Banking,Jaipur,RJ,India,Android,New,Approved,No,12,Low,,3,4,RuPay,MID8116,USD,VPN Detected
TXN133181,CUST5176,2026-05-18 23:42:00,1682.93,Online Services,Net Banking,Lucknow,UP,India,MacOS,New,Approved,No,18,Low,,9,5,RUPAY,MID6701,INR,trusted
TXN104405,CUST7087,2026-09-11 00:36:00,1763.57,Clothing,Net Banking,Surat,GJ,India,Android,New,Approved,No,18,Low,Unusual Time,9,6,Visa,MID2707,INR,Blacklisted
TXN141052,CUST2437,2026-03-14 07:03:27,1474.63,TRAVEL, UPI ,Pune,MH,India,android,New,Declined,Yes,63,Critical,New Device,7,0,visa,MID4768,INR ,Unknown
TXN134537,CUST8626,2026-08-15 18:50:00,1375.15,Utilities,Wallet,Ahmedabad,GJ,India,MacOS,Regular,Approved,No,23,Low,Velocity Alert,6,1,Visa,MID4703,INR,NEW IP
TXN129649,CUST9168,2026-05-26 20:14:00,5832.98,Grocery,Credit Card,Nashik,MH,India,iOS,Premium,Approved,No,16,Low,,7,5,Visa,MID3725,INR,New IP
TXN117206,CUST1000,2026-03-02 07:14:00,1537.92,Grocery,UPI,Mumbai,MH,India,Android,Regular,Approved,No,2,Low,,7,4,amex ,MID6410,INR,New IP
TXN116985,CUST8874,2026-05-07 03:51:00,260.6,Fuel,UPI,Delhi,DL,India,Android,New,Approved,No,24,Low,Unusual Time,9,3,Amex,MID5109,INR,Unknown
TXN142410,CUST1028,2026-05-06 17:55:28,218.61, Food & Dining ,net banking,BENGALURU ,KA,India,MACOS,Regular,pending,Yes,16,High,High Amount,7,1,Mastercard,MID4985,INR,Trusted
